Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     chromite,    hercynite,    magnetite,       spinel,   ulvospinel
33,1084.00,2.000,-9.582,1.1042,3.9732,0.0000,2.8239,43.0835,21.4220,0.0000,16.8203,0.0000,15.8503,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-14.851,-11.492,2.475,0.278,1.262,0.000000,0.049459,0.226583,0.664259,0.059698
34,1083.50,2.000,-9.599,0.5376,4.3736,0.0000,8.7628,17.2880,37.0487,0.0000,27.0498,0.0000,9.8507,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.473,-3.895,1.163,0.123,0.540,0.000000,-0.146420,0.453810,0.478080,0.214530
34,1083.50,2.000,-9.599,1.1360,3.9723,0.0000,2.8177,43.1588,21.3524,0.0000,16.8080,0.0000,15.8631,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-15.288,-11.834,2.546,0.286,1.299,0.000000,0.050152,0.225761,0.664543,0.059544
35,1083.00,2.000,-9.617,0.5402,4.3747,0.0000,8.8024,17.2272,37.0347,0.0000,27.1019,0.0000,9.8339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.496,-3.911,1.169,0.123,0.542,0.000000,-0.146821,0.453805,0.477438,0.215578
35,1083.00,2.000,-9.617,1.1676,3.9714,0.0000,2.8115,43.2337,21.2831,0.0000,16.7959,0.0000,15.8758,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-15.724,-12.175,2.617,0.294,1.336,0.000000,0.050841,0.224944,0.664824,0.059390
36,1082.50,2.000,-9.634,0.5430,4.3758,0.0000,8.8419,17.1669,37.0203,0.0000,27.1538,0.0000,9.8171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.520,-3.928,1.174,0.124,0.545,0.000000,-0.147220,0.453795,0.476799,0.216626
36,1082.50,2.000,-9.634,1.1991,3.9705,0.0000,2.8053,43.3082,21.2143,0.0000,16.7838,0.0000,15.8884,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-16.157,-12.515,2.687,0.302,1.372,0.000000,0.051528,0.224132,0.665102,0.059238
37,1082.00,2.000,-9.652,0.5458,4.3769,0.0000,8.8815,17.1069,37.0054,0.0000,27.2057,0.0000,9.8005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.545,-3.945,1.180,0.125,0.548,0.000000,-0.147616,0.453778,0.476164,0.217674
37,1082.00,2.000,-9.652,1.2304,3.9696,0.0000,2.7992,43.3823,21.1457,0.0000,16.7719,0.0000,15.9009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-16.589,-12.854,2.757,0.310,1.408,0.000000,0.052211,0.223325,0.665377,0.059086
38,1081.50,2.000,-9.669,0.5488,4.3780,0.0000,8.9210,17.0474,36.9902,0.0000,27.2575,0.0000,9.7839,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.571,-3.964,1.187,0.125,0.551,0.000000,-0.148009,0.453755,0.475532,0.218722
38,1081.50,2.000,-9.669,1.2615,3.9687,0.0000,2.7931,43.4560,21.0776,0.0000,16.7601,0.0000,15.9133,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-17.020,-13.191,2.826,0.318,1.444,0.000000,0.052891,0.222523,0.665650,0.058936
